RedFighter,BlueFighter,RedFighter_KD,BlueFighter_KD,RedFighter_STR,BlueFighter_STR,RedFighter_TD,BlueFighter_TD,RedFighter_SUB,BlueFighter_SUB,Event,Date,Location,WL,Winner,Victory_Result,Victory_Method,Round,Time,Weight_Class,Title,Fight_Bonus,Perf_Bonus,Sub_Bonus,KO_Bonus,Red_reach_cm,Red_stance,Red_dob,Red_ss_landed_per_minute,Red_ss_accuracy,Red_ss_absorbed_per_min,Red_ss_defence,Red_avg_td_per_15,Red_td_accuracy,Red_td_defence,Red_avg_sub_attempt_per_15,Blue_reach_cm,Blue_stance,Blue_dob,Blue_ss_landed_per_minute,Blue_ss_accuracy,Blue_ss_absorbed_per_min,Blue_ss_defence,Blue_avg_td_per_15,Blue_td_accuracy,Blue_td_defence,Blue_avg_sub_attempt_per_15
Dwight Grant,Stefan Sekulic,0,0,49,33,1,3,0,1,UFC 261: Usman vs. Masvidal 2,"April 24, 2021","Jacksonville, Florida, USA",WIN,Dwight Grant,S-DEC,S-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0,193.04,Switch,1984-09-14,3.29,36.0,2.66,60.0,0.61,100.0,66.0,3.29,190.5,Southpaw,1992-02-12,1.83,50.0,2.83,64.0,2.0,33.0,25.0,1.83
Karl Roberson,Brendan Allen,0,0,6,9,0,2,0,1,UFC 261: Usman vs. Masvidal 2,"April 24, 2021","Jacksonville, Florida, USA",WIN,Brendan Allen,SUBAnkle,SUBAnkle Lock,1,4:55,Middleweight,0.0,0.0,0.0,0.0,0.0,187.96,Southpaw,1990-10-04,2.57,51.0,2.42,57.0,0.72,40.0,40.0,2.57,190.5,Orthodox,1995-12-28,3.59,53.0,3.62,47.0,1.56,42.0,56.0,3.59
Tristan Connelly,Pat Sabatini,0,1,19,26,1,1,0,1,UFC 261: Usman vs. Masvidal 2,"April 24, 2021","Jacksonville, Florida, USA",WIN,Pat Sabatini,U-DEC,U-DEC,3,5:00,Featherweight,0.0,0.0,0.0,0.0,0.0,172.72,Orthodox,1985-12-12,3.31,51.0,2.96,50.0,0.33,14.0,60.0,3.31,177.8,Orthodox,1990-11-09,1.87,62.0,1.22,49.0,3.98,48.0,50.0,1.87
Batgerel Danaa,Kevin Natividad,1,0,7,3,0,0,0,0,UFC 261: Usman vs. Masvidal 2,"April 24, 2021","Jacksonville, Florida, USA",WIN,Batgerel Danaa,KO/TKOPunch,KO/TKOPunch,1,0:50,Bantamweight,0.0,0.0,0.0,0.0,0.0,177.8,Orthodox,1989-07-04,5.38,36.0,4.21,47.0,0.52,50.0,62.0,5.38,177.8,Orthodox,1993-04-02,2.68,34.0,4.29,47.0,3.66,50.0,83.0,2.68
Rongzhu,Kazula Vargas,0,0,42,96,3,0,0,1,UFC 261: Usman vs. Masvidal 2,"April 24, 2021","Jacksonville, Florida, USA",WIN,Kazula Vargas,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0,180.34,Orthodox,2000-03-07,6.02,51.0,5.44,52.0,1.35,62.0,84.0,6.02,180.34,Southpaw,1985-08-15,3.65,53.0,1.77,57.0,0.4,25.0,30.0,3.65
Jeff Molina,Aoriqileng,2,0,189,116,0,3,0,0,UFC 261: Usman vs. Masvidal 2,"April 24, 2021","Jacksonville, Florida, USA",WIN,Jeff Molina,U-DEC,U-DEC,3,5:00,Flyweight,0.0,1.0,0.0,0.0,0.0,175.26,Orthodox,1997-07-17,7.25,48.0,5.04,55.0,0.0,0.0,66.0,7.25,175.26,Orthodox,1993-06-25,4.69,49.0,5.47,48.0,1.2,46.0,58.0,4.69
Ariane Carnelossi,Liang Na,0,0,24,19,0,3,0,1,UFC 261: Usman vs. Masvidal 2,"April 24, 2021","Jacksonville, Florida, USA",WIN,Ariane Carnelossi,KO/TKOPunches,KO/TKOPunches,2,1:28,Women's Strawweight,0.0,0.0,0.0,0.0,0.0,154.94,Orthodox,1992-11-17,2.87,39.0,4.74,45.0,1.37,55.0,14.0,2.87,170.18,Orthodox,1996-07-27,1.99,42.0,3.95,36.0,3.6,58.0,25.0,1.99
Kelvin Gastelum,Robert Whittaker,0,0,62,150,1,4,0,0,UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021","Las Vegas, Nevada, USA",WIN,Robert Whittaker,U-DEC,U-DEC,5,5:00,Middleweight,0.0,1.0,0.0,0.0,0.0,180.34,Southpaw,1991-10-24,3.67,42.0,3.53,57.0,1.01,34.0,60.0,3.67,185.42,Orthodox,1990-12-20,4.39,43.0,3.36,59.0,0.73,38.0,82.0,4.39
Chase Sherman,Andrei Arlovski,0,0,88,105,0,0,0,0,UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021","Las Vegas, Nevada, USA",WIN,Andrei Arlovski,U-DEC,U-DEC,3,5:00,Heavyweight,0.0,0.0,0.0,0.0,0.0,198.12,Orthodox,1989-11-16,6.04,45.0,6.65,52.0,0.09,50.0,74.0,6.04,195.58,Orthodox,1979-02-04,3.82,45.0,3.22,57.0,0.37,35.0,76.0,3.82
Abdul Razak Alhassan,Jacob Malkoun,0,0,21,27,0,8,0,2,UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021","Las Vegas, Nevada, USA",WIN,Jacob Malkoun,U-DEC,U-DEC,3,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0,185.42,Orthodox,1985-08-11,3.64,49.0,4.01,54.0,0.84,33.0,51.0,3.64,185.42,Orthodox,1995-08-26,3.86,56.0,2.48,52.0,6.62,42.0,20.0,3.86
Tracy Cortez,Justine Kish,0,1,66,55,3,0,1,0,UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021","Las Vegas, Nevada, USA",WIN,Tracy Cortez,S-DEC,S-DEC,3,5:00,Women's Flyweight,0.0,0.0,0.0,0.0,0.0,165.1,Orthodox,1993-12-10,3.79,49.0,2.84,57.0,2.19,47.0,62.0,3.79,162.56,Orthodox,1988-04-13,4.51,48.0,4.59,57.0,0.87,33.0,50.0,4.51
Alexander Munoz,Luis Pena,0,0,80,90,4,0,0,0,UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021","Las Vegas, Nevada, USA",WIN,Luis Pena,S-DEC,S-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0,182.88,Switch,1990-02-27,3.7,42.0,4.73,55.0,3.0,40.0,100.0,3.7,190.5,Southpaw,1993-07-05,3.66,46.0,3.12,51.0,1.17,33.0,48.0,3.66
Alexandr Romanov,Juan Espino,0,0,32,12,2,4,0,0,UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021","Las Vegas, Nevada, USA",WIN,Alexandr Romanov,S-DEC,S-DEC,3,1:05,Heavyweight,0.0,0.0,0.0,0.0,0.0,190.5,Southpaw,1990-12-11,3.78,51.0,2.13,54.0,4.49,55.0,28.0,3.78,203.2,Orthodox,1980-10-09,2.38,70.0,1.95,40.0,8.93,78.0,50.0,2.38
Jessica Penne,Loopy Godinez,0,0,31,40,1,3,0,0,UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021","Las Vegas, Nevada, USA",WIN,Jessica Penne,S-DEC,S-DEC,3,5:00,Women's Strawweight,0.0,0.0,0.0,0.0,0.0,170.18,Orthodox,1983-01-30,2.63,33.0,5.05,45.0,1.29,18.0,36.0,2.63,154.94,Orthodox,1993-09-06,4.51,49.0,4.03,62.0,2.96,41.0,81.0,4.51
Bartosz Fabinski,Gerald Meerschaert,0,0,6,8,1,0,0,1,UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021","Las Vegas, Nevada, USA",WIN,Gerald Meerschaert,SUBGuillotine,SUBGuillotine Choke,1,2:00,Middleweight,0.0,0.0,1.0,0.0,0.0,190.5,Orthodox,1986-04-26,2.23,68.0,1.46,51.0,7.1,70.0,80.0,2.23,195.58,Southpaw,1987-12-18,3.02,45.0,3.49,53.0,1.83,30.0,42.0,3.02
Austin Hubbard,Dakota Bush,0,0,67,41,1,1,0,0,UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021","Las Vegas, Nevada, USA",WIN,Austin Hubbard,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0,180.34,Orthodox,1991-12-22,3.97,42.0,4.1,55.0,1.63,28.0,68.0,3.97,185.42,Orthodox,1994-06-09,2.77,38.0,4.42,41.0,2.4,33.0,0.0,2.77
Anthony Birchak,Tony Gravely,0,2,18,39,0,4,1,0,UFC Fight Night: Whittaker vs. Gastelum,"April 17, 2021","Las Vegas, Nevada, USA",WIN,Tony Gravely,KO/TKOPunch,KO/TKOPunch,2,1:31,Bantamweight,0.0,0.0,1.0,0.0,0.0,175.26,Orthodox,1986-05-16,3.93,36.0,3.67,56.0,0.48,14.0,61.0,3.93,175.26,Orthodox,1991-09-28,3.82,48.0,4.47,44.0,5.4,41.0,52.0,3.82
Kevin Holland,Marvin Vettori,0,0,37,24,0,11,0,1,UFC Fight Night: Vettori vs. Holland,"April 10, 2021","Las Vegas, Nevada, USA",WIN,Marvin Vettori,U-DEC,U-DEC,5,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0,205.74,Orthodox,1992-11-05,4.26,49.0,3.22,50.0,0.83,39.0,56.0,4.26,187.96,Southpaw,1993-09-20,4.68,45.0,4.52,56.0,1.43,45.0,65.0,4.68
Sodiq Yusuff,Arnold Allen,0,1,47,21,0,2,1,0,UFC Fight Night: Vettori vs. Holland,"April 10, 2021","Las Vegas, Nevada, USA",WIN,Arnold Allen,U-DEC,U-DEC,3,5:00,Featherweight,0.0,0.0,0.0,0.0,0.0,180.34,Orthodox,1993-05-19,5.27,49.0,4.29,53.0,0.36,23.0,62.0,5.27,177.8,Southpaw,1994-01-22,3.45,41.0,2.88,61.0,0.93,47.0,75.0,3.45
Julian Marquez,Sam Alvey,1,0,61,29,0,0,1,0,UFC Fight Night: Vettori vs. Holland,"April 10, 2021","Las Vegas, Nevada, USA",WIN,Julian Marquez,SUBRear,SUBRear Naked Choke,2,2:07,Middleweight,0.0,1.0,0.0,0.0,0.0,182.88,Orthodox,1990-05-08,5.06,45.0,5.35,50.0,0.0,0.0,54.0,5.06,190.5,Southpaw,1986-05-06,3.28,44.0,3.63,52.0,0.06,14.0,82.0,3.28
Mackenzie Dern,Nina Nunes,0,0,12,4,1,0,1,0,UFC Fight Night: Vettori vs. Holland,"April 10, 2021","Las Vegas, Nevada, USA",WIN,Mackenzie Dern,SUBArmbar,SUBArmbar,1,4:48,Women's Strawweight,0.0,0.0,1.0,0.0,0.0,160.02,Orthodox,1993-03-24,3.47,41.0,3.93,51.0,0.93,18.0,37.0,3.47,162.56,Orthodox,1985-12-03,4.39,45.0,3.47,55.0,0.24,33.0,73.0,4.39
Mike Perry,Daniel Rodriguez,0,0,61,129,2,0,0,0,UFC Fight Night: Vettori vs. Holland,"April 10, 2021","Las Vegas, Nevada, USA",WIN,Daniel Rodriguez,U-DEC,U-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0,180.34,Orthodox,1991-09-15,4.32,47.0,5.16,52.0,0.81,40.0,78.0,4.32,187.96,Southpaw,1986-12-31,7.2,49.0,5.4,57.0,0.51,50.0,64.0,7.2
Joe Solecki,Jim Miller,0,0,19,11,1,0,0,0,UFC Fight Night: Vettori vs. Holland,"April 10, 2021","Las Vegas, Nevada, USA",WIN,Joe Solecki,U-DEC,U-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0,177.8,Orthodox,1993-08-27,1.97,53.0,1.85,50.0,2.06,48.0,14.0,1.97,180.34,Southpaw,1983-08-30,2.92,42.0,3.44,56.0,1.5,45.0,48.0,2.92
Scott Holtzman,Mateusz Gamrot,0,1,10,39,0,2,0,0,UFC Fight Night: Vettori vs. Holland,"April 10, 2021","Las Vegas, Nevada, USA",WIN,Mateusz Gamrot,KO/TKOPunches,KO/TKOPunches,2,1:22,Lightweight,0.0,0.0,1.0,0.0,0.0,175.26,Orthodox,1983-09-30,4.32,47.0,3.66,55.0,1.88,56.0,67.0,4.32,177.8,Southpaw,1990-12-11,3.29,51.0,2.96,59.0,5.15,37.0,83.0,3.29
John Makdessi,Ignacio Bahamondes,0,0,124,112,0,0,0,0,UFC Fight Night: Vettori vs. Holland,"April 10, 2021","Las Vegas, Nevada, USA",WIN,John Makdessi,S-DEC,S-DEC,3,5:00,Lightweight,0.0,0.0,0.0,0.0,0.0,172.72,Orthodox,1985-05-03,5.52,49.0,4.15,68.0,0.0,0.0,86.0,5.52,190.5,Orthodox,1997-08-27,6.55,45.0,4.33,56.0,0.0,0.0,75.0,6.55
Jarjis Danho,Yorgan De Castro,1,0,10,2,0,0,0,0,UFC Fight Night: Vettori vs. Holland,"April 10, 2021","Las Vegas, Nevada, USA",WIN,Jarjis Danho,KO/TKOPunch,KO/TKOPunch,1,3:02,Heavyweight,0.0,0.0,0.0,0.0,0.0,187.96,Orthodox,1983-10-15,3.38,50.0,5.25,49.0,0.51,16.0,100.0,3.38,187.96,Orthodox,1986-12-19,2.46,43.0,3.85,53.0,0.0,0.0,77.0,2.46
Hunter Azure,Jack Shore,0,0,45,36,0,6,1,0,UFC Fight Night: Vettori vs. Holland,"April 10, 2021","Las Vegas, Nevada, USA",WIN,Jack Shore,S-DEC,S-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0,175.26,Orthodox,1992-03-02,3.92,53.0,2.08,58.0,1.97,34.0,67.0,3.92,180.34,Orthodox,1995-02-06,3.6,58.0,2.31,56.0,3.22,39.0,74.0,3.6
Jordan Griffin,Luis Saldana,0,0,33,36,4,0,2,1,UFC Fight Night: Vettori vs. Holland,"April 10, 2021","Las Vegas, Nevada, USA",WIN,Luis Saldana,U-DEC,U-DEC,3,5:00,Featherweight,0.0,0.0,0.0,0.0,0.0,185.42,Southpaw,1990-02-28,2.52,46.0,3.02,50.0,1.45,35.0,42.0,2.52,185.42,Orthodox,1991-01-27,5.16,50.0,3.65,60.0,0.64,17.0,44.0,5.16
Da Woon Jung,William Knight,0,0,28,17,8,0,0,0,UFC Fight Night: Vettori vs. Holland,"April 10, 2021","Las Vegas, Nevada, USA",WIN,Da Woon Jung,U-DEC,U-DEC,3,5:00,Light Heavyweight,0.0,0.0,0.0,0.0,0.0,198.12,Orthodox,1993-12-07,3.24,40.0,4.23,49.0,1.59,47.0,75.0,3.24,185.42,Orthodox,1988-04-03,2.62,56.0,3.3,35.0,1.78,40.0,48.0,2.62
Impa Kasanganay,Sasha Palatnikov,0,0,13,13,2,0,1,0,UFC Fight Night: Vettori vs. Holland,"April 10, 2021","Las Vegas, Nevada, USA",WIN,Impa Kasanganay,SUBRear,SUBRear Naked Choke,2,0:26,Welterweight,0.0,0.0,0.0,0.0,0.0,190.5,Orthodox,1994-01-17,4.96,48.0,3.66,58.0,1.75,58.0,66.0,4.96,182.88,Switch,1989-03-15,6.69,53.0,5.44,52.0,0.72,100.0,70.0,6.69
Francis Ngannou,Stipe Miocic,2,0,36,12,1,0,0,0,UFC 260: Miocic vs. Ngannou,"March 27, 2021","Las Vegas, Nevada, USA",WIN,Francis Ngannou,KO/TKOPunch,KO/TKOPunch,2,0:52,Heavyweight,1.0,0.0,1.0,0.0,0.0,210.82,Orthodox,1986-09-05,2.33,41.0,2.16,41.0,0.76,62.0,71.0,2.33,203.2,Orthodox,1982-08-19,4.67,52.0,4.01,52.0,1.74,34.0,65.0,4.67
Vicente Luque,Tyron Woodley,0,0,25,18,0,0,1,0,UFC 260: Miocic vs. Ngannou,"March 27, 2021","Las Vegas, Nevada, USA",WIN,Vicente Luque,SUBD'Arce,SUBD'Arce Choke,1,3:56,Welterweight,0.0,1.0,0.0,0.0,0.0,190.5,Orthodox,1991-11-27,4.83,51.0,5.3,51.0,0.9,48.0,60.0,4.83,187.96,Orthodox,1982-04-07,2.36,48.0,2.76,54.0,1.06,40.0,87.0,2.36
Sean O'Malley,Thomas Almeida,2,0,86,25,0,1,0,0,UFC 260: Miocic vs. Ngannou,"March 27, 2021","Las Vegas, Nevada, USA",WIN,Sean O'Malley,KO/TKOPunch,KO/TKOPunch,3,3:52,Bantamweight,0.0,0.0,1.0,0.0,0.0,182.88,Switch,1994-10-24,6.3,61.0,3.48,60.0,0.27,42.0,61.0,6.3,177.8,Southpaw,1991-07-31,4.84,43.0,4.93,61.0,0.17,14.0,75.0,4.84
Miranda Maverick,Gillian Robertson,0,0,71,27,3,2,0,1,UFC 260: Miocic vs. Ngannou,"March 27, 2021","Las Vegas, Nevada, USA",WIN,Miranda Maverick,U-DEC,U-DEC,3,5:00,Women's Flyweight,0.0,0.0,0.0,0.0,0.0,165.1,Southpaw,1997-07-01,3.22,44.0,2.25,61.0,2.16,40.0,45.0,3.22,160.02,Orthodox,1995-05-17,2.86,48.0,2.86,56.0,2.74,40.0,41.0,2.86
Khama Worthy,Jamie Mullarkey,0,1,5,6,0,0,0,0,UFC 260: Miocic vs. Ngannou,"March 27, 2021","Las Vegas, Nevada, USA",WIN,Jamie Mullarkey,KO/TKOPunch,KO/TKOPunch,1,0:46,Lightweight,0.0,0.0,0.0,0.0,0.0,187.96,Orthodox,1986-10-15,4.18,48.0,4.45,46.0,0.0,0.0,57.0,4.18,187.96,Orthodox,1994-08-17,4.2,46.0,4.34,54.0,2.4,29.0,78.0,4.2
Fabio Cherant,Alonzo Menifield,0,0,0,3,0,1,0,1,UFC 260: Miocic vs. Ngannou,"March 27, 2021","Las Vegas, Nevada, USA",WIN,Alonzo Menifield,SUBVon,SUBVon Flue Choke,1,1:11,Light Heavyweight,0.0,0.0,0.0,0.0,0.0,187.96,Southpaw,1994-11-25,1.35,40.0,4.89,38.0,0.0,0.0,0.0,1.35,193.04,Orthodox,1987-10-18,3.79,53.0,3.76,50.0,0.5,31.0,78.0,3.79
Abubakar Nurmagomedov,Jared Gooden,0,0,60,43,1,0,0,0,UFC 260: Miocic vs. Ngannou,"March 27, 2021","Las Vegas, Nevada, USA",WIN,Abubakar Nurmagomedov,U-DEC,U-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0,182.88,Orthodox,1989-11-13,2.78,53.0,2.61,65.0,1.25,22.0,88.0,2.78,195.58,Orthodox,1993-12-05,4.4,48.0,6.74,45.0,0.91,45.0,65.0,4.4
Modestas Bukauskas,Michal Oleksiejczuk,0,0,58,56,0,0,0,0,UFC 260: Miocic vs. Ngannou,"March 27, 2021","Las Vegas, Nevada, USA",WIN,Michal Oleksiejczuk,S-DEC,S-DEC,3,5:00,Light Heavyweight,0.0,0.0,0.0,0.0,0.0,193.04,Switch,1994-02-10,3.32,43.0,3.93,51.0,0.3,66.0,80.0,3.32,187.96,Southpaw,1995-02-22,5.34,51.0,4.41,59.0,1.02,43.0,52.0,5.34
Omar Morales,Shane Young,0,0,69,46,2,1,0,0,UFC 260: Miocic vs. Ngannou,"March 27, 2021","Las Vegas, Nevada, USA",WIN,Omar Morales,U-DEC,U-DEC,3,5:00,Featherweight,0.0,0.0,0.0,0.0,0.0,185.42,Orthodox,1985-10-17,3.42,40.0,3.18,58.0,0.46,100.0,63.0,3.42,182.88,Orthodox,1993-07-31,5.19,40.0,5.46,52.0,0.63,18.0,64.0,5.19
Marc-Andre Barriault,Abu Azaitar,1,0,141,108,0,0,0,0,UFC 260: Miocic vs. Ngannou,"March 27, 2021","Las Vegas, Nevada, USA",WIN,Marc-Andre Barriault,KO/TKOPunches,KO/TKOPunches,3,4:56,Middleweight,0.0,0.0,0.0,0.0,0.0,187.96,Orthodox,1990-02-18,5.7,47.0,5.63,50.0,0.37,28.0,68.0,5.7,193.04,Orthodox,1986-03-10,4.38,43.0,4.32,51.0,1.0,37.0,42.0,4.38
Derek Brunson,Kevin Holland,0,0,43,36,6,1,1,0,UFC Fight Night: Brunson vs. Holland,"March 20, 2021","Las Vegas, Nevada, USA",WIN,Derek Brunson,U-DEC,U-DEC,5,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0,195.58,Southpaw,1984-01-04,3.51,47.0,3.05,51.0,3.14,33.0,85.0,3.51,205.74,Orthodox,1992-11-05,4.26,49.0,3.22,50.0,0.83,39.0,56.0,4.26
Song Kenan,Max Griffin,0,1,14,17,0,0,0,0,UFC Fight Night: Brunson vs. Holland,"March 20, 2021","Las Vegas, Nevada, USA",WIN,Max Griffin,KO/TKOPunch,KO/TKOPunch,1,2:20,Welterweight,0.0,0.0,1.0,0.0,0.0,180.34,Orthodox,1990-03-10,4.49,46.0,5.82,51.0,0.42,30.0,73.0,4.49,193.04,Orthodox,1985-11-29,3.76,47.0,3.7,58.0,1.28,40.0,70.0,3.76
Cheyanne Vlismas,Montserrat Conejo Ruiz,0,0,31,15,0,4,0,2,UFC Fight Night: Brunson vs. Holland,"March 20, 2021","Las Vegas, Nevada, USA",WIN,Montserrat Conejo Ruiz,U-DEC,U-DEC,3,5:00,Women's Strawweight,0.0,0.0,0.0,0.0,0.0,160.02,Switch,1995-06-25,4.93,50.0,2.57,64.0,0.25,33.0,66.0,4.93,154.94,Southpaw,1993-02-03,0.79,27.0,4.96,37.0,2.05,83.0,33.0,0.79
Adrian Yanez,Gustavo Lopez,2,0,41,23,0,0,0,0,UFC Fight Night: Brunson vs. Holland,"March 20, 2021","Las Vegas, Nevada, USA",WIN,Adrian Yanez,KO/TKOPunch,KO/TKOPunch,3,0:27,Bantamweight,0.0,0.0,1.0,0.0,0.0,177.8,Orthodox,1993-11-29,6.23,41.0,5.75,54.0,0.0,0.0,81.0,6.23,170.18,Orthodox,1989-06-27,2.48,40.0,3.87,57.0,1.74,41.0,31.0,2.48
Harry Hunsucker,Tai Tuivasa,0,1,2,14,0,0,0,0,UFC Fight Night: Brunson vs. Holland,"March 20, 2021","Las Vegas, Nevada, USA",WIN,Tai Tuivasa,KO/TKOPunches,KO/TKOPunches,1,0:49,Heavyweight,0.0,0.0,0.0,0.0,0.0,190.5,Orthodox,1989-01-03,3.54,52.0,6.53,42.0,0.0,0.0,0.0,3.54,190.5,Southpaw,1993-03-16,3.77,46.0,5.18,44.0,0.0,0.0,57.0,3.77
Marion Reneau,Macy Chiasson,0,0,30,51,2,1,0,0,UFC Fight Night: Brunson vs. Holland,"March 20, 2021","Las Vegas, Nevada, USA",WIN,Macy Chiasson,U-DEC,U-DEC,3,5:00,Women's Bantamweight,0.0,0.0,0.0,0.0,0.0,172.72,Orthodox,1977-06-20,3.2,41.0,3.52,59.0,0.62,63.0,50.0,3.2,182.88,Orthodox,1991-07-27,3.5,46.0,2.86,45.0,2.07,37.0,72.0,3.5
Leonardo Santos,Grant Dawson,0,0,30,46,1,1,0,0,UFC Fight Night: Brunson vs. Holland,"March 20, 2021","Las Vegas, Nevada, USA",WIN,Grant Dawson,KO/TKOPunches,KO/TKOPunches,3,4:59,Lightweight,0.0,0.0,1.0,0.0,0.0,190.5,Orthodox,1980-02-05,2.82,46.0,3.4,54.0,0.88,25.0,86.0,2.82,182.88,Switch,1994-02-20,3.2,52.0,2.11,44.0,3.87,40.0,57.0,3.2
Trevin Giles,Roman Dolidze,0,0,27,32,1,1,1,2,UFC Fight Night: Brunson vs. Holland,"March 20, 2021","Las Vegas, Nevada, USA",WIN,Trevin Giles,U-DEC,U-DEC,3,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0,187.96,Orthodox,1992-08-06,3.17,54.0,2.39,58.0,1.07,50.0,72.0,3.17,193.04,Orthodox,1988-07-15,3.41,41.0,3.72,48.0,0.99,39.0,26.0,3.41
Jesse Strader,Montel Jackson,0,2,14,15,0,0,0,0,UFC Fight Night: Brunson vs. Holland,"March 20, 2021","Las Vegas, Nevada, USA",WIN,Montel Jackson,KO/TKOPunch,KO/TKOPunch,1,1:58,Bantamweight,0.0,0.0,0.0,0.0,0.0,177.8,Orthodox,1991-05-29,5.03,51.0,5.28,47.0,3.87,57.0,100.0,5.03,190.5,Southpaw,1992-04-24,3.09,52.0,1.4,61.0,3.0,63.0,67.0,3.09
JP Buys,Bruno Silva,0,3,17,37,0,1,1,0,UFC Fight Night: Brunson vs. Holland,"March 20, 2021","Las Vegas, Nevada, USA",WIN,Bruno Silva,KO/TKOPunch,KO/TKOPunch,2,2:56,Flyweight,0.0,0.0,1.0,0.0,0.0,170.18,Orthodox,1996-04-30,1.88,39.0,3.02,40.0,1.55,25.0,25.0,1.88,187.96,Orthodox,1989-07-13,3.86,48.0,5.35,41.0,0.77,22.0,74.0,3.86
Belal Muhammad,Leon Edwards,0,0,8,19,0,0,0,0,UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021","Las Vegas, Nevada, USA",NCNC,Leon Edwards,CNC,CNC,2,0:18,Welterweight,0.0,0.0,0.0,0.0,0.0,182.88,Orthodox,1988-07-09,4.46,43.0,3.78,55.0,2.24,38.0,90.0,4.46,187.96,Southpaw,1991-08-25,2.62,54.0,2.42,53.0,1.18,36.0,63.0,2.62
Misha Cirkunov,Ryan Spann,0,1,5,16,0,0,0,0,UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021","Las Vegas, Nevada, USA",WIN,Ryan Spann,KO/TKOPunches,KO/TKOPunches,1,1:11,Light Heavyweight,0.0,0.0,1.0,0.0,0.0,195.58,Orthodox,1987-02-27,3.86,51.0,3.06,57.0,4.15,39.0,76.0,3.86,200.66,Orthodox,1991-08-24,3.19,39.0,4.14,43.0,1.3,34.0,52.0,3.19
Dan Ige,Gavin Tucker,1,0,1,1,0,0,0,0,UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021","Las Vegas, Nevada, USA",WIN,Dan Ige,KO/TKOPunch,KO/TKOPunch,1,0:22,Featherweight,0.0,0.0,1.0,0.0,0.0,180.34,Orthodox,1991-08-06,3.64,45.0,3.56,56.0,0.89,25.0,56.0,3.64,167.64,Southpaw,1986-06-17,4.29,44.0,4.18,57.0,3.13,44.0,53.0,4.29
Davey Grant,Jonathan Martinez,1,1,48,29,0,0,0,0,UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021","Las Vegas, Nevada, USA",WIN,Davey Grant,KO/TKOPunch,KO/TKOPunch,2,3:03,Bantamweight,0.0,0.0,1.0,0.0,0.0,175.26,Orthodox,1985-12-18,5.14,44.0,3.82,55.0,1.03,40.0,63.0,5.14,177.8,Southpaw,1994-04-20,4.44,49.0,4.09,56.0,0.38,35.0,68.0,4.44
Manel Kape,Matheus Nicolau,0,0,61,55,0,2,0,1,UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021","Las Vegas, Nevada, USA",WIN,Matheus Nicolau,S-DEC,S-DEC,3,5:00,Flyweight,0.0,0.0,0.0,0.0,0.0,172.72,Southpaw,1993-11-14,5.04,55.0,4.05,57.0,0.42,30.0,81.0,5.04,167.64,Orthodox,1993-01-06,3.31,51.0,2.98,65.0,1.22,43.0,90.0,3.31
Darren Stewart,Eryk Anders,0,1,15,43,0,3,0,0,UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021","Las Vegas, Nevada, USA",NCNC,Eryk Anders,CNC,CNC,1,4:37,Middleweight,0.0,0.0,0.0,0.0,0.0,187.96,Orthodox,1990-12-30,3.05,45.0,3.29,48.0,1.75,45.0,67.0,3.05,190.5,Southpaw,1987-04-21,3.51,48.0,4.09,50.0,1.75,24.0,80.0,3.51
Ashley Yoder,Angela Hill,0,0,34,77,2,1,0,0,UFC Fight Night: Edwards vs. Muhammad,"March 13, 2021","Las Vegas, Nevada, USA",WIN,Angela Hill,U-DEC,U-DEC,3,5:00,Women's Strawweight,0.0,0.0,0.0,0.0,0.0,175.26,Southpaw,1987-10-20,3.42,39.0,4.13,47.0,1.09,27.0,66.0,3.42,162.56,Orthodox,1985-01-12,5.43,50.0,4.92,60.0,0.78,30.0,74.0,5.43
